"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9589371550945,40.7959812504467,"37C-PM-1013-04","PM",10132018,"Adult","Gray","foraging","indifferent","POINT (-73.9589371550945 40.7959812504467)"
-73.9581544682422,40.7958081306449,"37C-PM-1013-02","PM",10132018,"Adult","Gray","foraging","indifferent","POINT (-73.9581544682422 40.7958081306449)"
-73.9587913289229,40.7961707624534,"38C-AM-1019-11","AM",10192018,"Adult","Gray","running","runs away","POINT (-73.9587913289229 40.7961707624534)"
-73.9594676326588,40.7984457363388,"39A-AM-1013-01","AM",10132018,"Juvenile","Cinnamon","running","runs away","POINT (-73.9594676326588 40.7984457363388)"
-73.9810032206428,40.7681625634979,"1A-AM-1007-01","AM",10072018,"Adult","Gray","climbing","indifferent","POINT (-73.9810032206428 40.7681625634979)"
-73.974828939898,40.7668886121909,"2F-PM-1014-11","PM",10142018,"Adult","Gray","chasing","indifferent","POINT (-73.974828939898 40.7668886121909)"
-73.9673924060436,40.7788781851716,"17F-AM-1007-03","AM",10072018,"Adult","Cinnamon","running","indifferent","POINT (-73.9673924060436 40.7788781851716)"
-73.9595022290348,40.7831151330074,"25I-PM-1007-02","PM",10072018,"Adult","Gray","foraging","runs away","POINT (-73.9595022290348 40.783115133007406)"
-73.9537356145842,40.7917273773486,"35I-PM-1006-02","PM",10062018,"Adult","Gray","climbing","indifferent","POINT (-73.9537356145842 40.7917273773486)"
-73.9709722223794,40.7767329646325,"14D-AM-1014-06","AM",10142018,"Adult","Gray","foraging","indifferent","POINT (-73.9709722223794 40.7767329646325)"
-73.9586252875856,40.7852027586217,"27I-AM-1007-03","AM",10072018,"Adult","Gray","climbing","indifferent","POINT (-73.9586252875856 40.7852027586217)"
-73.9664986446294,40.778308334318,"17G-PM-1017-02","PM",10172018,"Adult","Gray","running","runs away","POINT (-73.9664986446294 40.778308334318)"
-73.9755321998542,40.7668311576007,"2F-PM-1014-01","PM",10142018,"Adult","Gray","running","indifferent","POINT (-73.97553219985421 40.7668311576007)"
